generation,seed_55_type_FT_hours_35_CR_0.3_MR_0.01_TS_2,seed_60_type_PT_hours_20_CR_0.65_MR_0.15_TS_5,seed_65_type_FT_hours_28_CR_0.5_MR_0.2_TS_6
0,2.260797224308032e-05,0.07099857198118943,0.00025299375948726596
1,0.0,0.12302210686883865,0.00025299375948726596
2,0.0,0.14514790683734197,1.925929944387236e-34
3,0.0,0.07429583403609379,1.925929944387236e-34
4,0.0,0.0,1.925929944387236e-34
5,0.0,0.06071850227694386,1.925929944387236e-34
6,0.0,0.0,1.925929944387236e-34
7,0.0,0.0,1.925929944387236e-34
8,0.0,0.0,1.925929944387236e-34
9,0.0,0.0,1.925929944387236e-34
10,0.0,0.0,1.925929944387236e-34
11,3.1507202423710737e-05,0.0,1.925929944387236e-34
12,8.78450553775226e-07,0.0,1.925929944387236e-34
13,5.447766012396693e-05,0.0,1.925929944387236e-34
14,0.0,0.0,1.925929944387236e-34
15,0.0,0.0,1.925929944387236e-34
16,0.00026633522727272725,0.0,1.925929944387236e-34
17,0.000151326833677686,0.0,1.925929944387236e-34
18,0.0006746500252993757,0.0,1.925929944387236e-34
19,0.0,0.0,1.925929944387236e-34
20,0.0,0.0,1.925929944387236e-34
21,0.0,0.0,1.925929944387236e-34
22,0.0,0.0,1.925929944387236e-34
23,0.0,0.0,1.925929944387236e-34
24,0.0,0.0,1.925929944387236e-34
25,0.0,0.0,1.925929944387236e-34
26,0.0,0.0,1.925929944387236e-34
27,0.0,0.0,1.925929944387236e-34
28,0.0,0.0,1.925929944387236e-34
29,0.0,0.0,1.925929944387236e-34
30,0.0,0.0,1.925929944387236e-34
31,0.0,0.0,0.0007230783469850524
32,0.0,0.0,7.703719777548943e-34
33,0.0,0.0,7.703719777548943e-34
34,0.0,0.0,0.09375
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0001062925170068027,0.0,0.0
48,0.1736111111111111,0.0,0.0
49,0.13020833333333334,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0371900826446281,0.0
69,0.0,0.0,0.0
70,0.0,0.057851239669421496,0.0
71,0.0,0.02066115702479339,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
